_id,chromosome,strand,chrLeftPosition,chrRightPosition,bs_center,nearest_tss_pos,dist_bp_signed_oriented,dist_bp_abs
ECOLIBS000000027,NC_000913.3,+,875490,875509,875500,875425,75,75
ECOLIBS000000028,NC_000913.3,+,890635,890654,890644,890805,-161,161
ECOLIBS000000029,NC_000913.3,-,890636,890655,890646,890753,107,107
ECOLIBS000000030,NC_000913.3,+,964320,964339,964330,964304,26,26
ECOLIBS000000031,NC_000913.3,+,1003109,1003128,1003118,1002989,129,129
ECOLIBS000000032,NC_000913.3,-,1003110,1003129,1003120,1002969,-151,151
ECOLIBS000000033,NC_000913.3,+,1006717,1006736,1006726,1006499,227,227
ECOLIBS000000034,NC_000913.3,-,1006718,1006737,1006728,1006927,199,199
ECOLIBS000000035,NC_000913.3,+,1006867,1006886,1006876,1007201,-325,325
ECOLIBS000000036,NC_000913.3,+,1101811,1101830,1101820,1100828,992,992
ECOLIBS000000037,NC_000913.3,-,1120626,1120645,1120636,1120609,-27,27
ECOLIBS000000038,NC_000913.3,-,1161728,1161747,1161738,1161646,-92,92
ECOLIBS000000039,NC_000913.3,+,1162012,1162031,1162022,1162026,-4,4
ECOLIBS000000040,NC_000913.3,+,1171707,1171726,1171716,1171817,-101,101
ECOLIBS000000041,NC_000913.3,-,1171708,1171727,1171718,1171800,82,82
ECOLIBS000000042,NC_000913.3,+,1171842,1171861,1171852,1171817,35,35
ECOLIBS000000043,NC_000913.3,-,1171843,1171862,1171852,1171800,-52,52
ECOLIBS000000044,NC_000913.3,+,1184425,1184444,1184434,1185737,-1303,1303
ECOLIBS000000045,NC_000913.3,-,1189533,1189552,1189542,1189828,286,286
ECOLIBS000000046,NC_000913.3,+,1197368,1197387,1197378,1197125,253,253
ECOLIBS000000047,NC_000913.3,-,1212841,1212860,1212850,1212826,-24,24
ECOLIBS000000048,NC_000913.3,+,1224325,1224344,1224334,1224369,-35,35
ECOLIBS000000049,NC_000913.3,+,1225102,1225121,1225112,1225141,-29,29
ECOLIBS000000050,NC_000913.3,+,1227078,1227097,1227088,1227106,-18,18
ECOLIBS000000051,NC_000913.3,+,1241371,1241390,1241380,1241417,-37,37
ECOLIBS000000052,NC_000913.3,+,1241494,1241513,1241504,1241417,87,87
ECOLIBS000000053,NC_000913.3,-,1241495,1241514,1241504,1241367,-137,137
ECOLIBS000000054,NC_000913.3,+,1254871,1254890,1254880,1254988,-108,108
ECOLIBS000000055,NC_000913.3,-,1254872,1254891,1254882,1255172,290,290
ECOLIBS000000056,NC_000913.3,+,1255246,1255265,1255256,1254988,268,268
ECOLIBS000000057,NC_000913.3,+,1256354,1256373,1256364,1256569,-205,205
ECOLIBS000000058,NC_000913.3,-,1256355,1256374,1256364,1256322,-42,42
ECOLIBS000000059,NC_000913.3,+,1266566,1266585,1266576,1266950,-374,374
ECOLIBS000000060,NC_000913.3,+,1288056,1288075,1288066,1287998,68,68
ECOLIBS000000061,NC_000913.3,-,1288057,1288076,1288066,1288063,-3,3
ECOLIBS000000062,NC_000913.3,+,1288278,1288297,1288288,1288533,-245,245
ECOLIBS000000063,NC_000913.3,+,1307750,1307769,1307760,1307764,-4,4
ECOLIBS000000064,NC_000913.3,-,1308504,1308523,1308514,1308634,120,120
ECOLIBS000000065,NC_000913.3,+,1309692,1309711,1309702,1309997,-295,295
ECOLIBS000000066,NC_000913.3,+,1373946,1373965,1373956,1373162,794,794
ECOLIBS000000067,NC_000913.3,-,1373947,1373966,1373956,1372355,-1601,1601
ECOLIBS000000068,NC_000913.3,+,1394970,1394989,1394980,1395069,-89,89
ECOLIBS000000069,NC_000913.3,-,1394971,1394990,1394980,1394917,-63,63
ECOLIBS000000070,NC_000913.3,-,1407570,1407589,1407580,1407573,-7,7
ECOLIBS000000071,NC_000913.3,+,1467868,1467887,1467878,1467869,9,9
ECOLIBS000000072,NC_000913.3,-,1470023,1470042,1470032,1469903,-129,129
ECOLIBS000000073,NC_000913.3,-,1475821,1475840,1475830,1476433,603,603
ECOLIBS000000074,NC_000913.3,+,1476231,1476250,1476240,1476583,-343,343
ECOLIBS000000075,NC_000913.3,-,1476541,1476560,1476550,1476519,-31,31
ECOLIBS000000076,NC_000913.3,-,1482114,1482133,1482124,1482314,190,190
ECOLIBS000000077,NC_000913.3,+,1482217,1482236,1482226,1482545,-319,319
ECOLIBS000000078,NC_000913.3,+,1483668,1483687,1483678,1483742,-64,64
ECOLIBS000000079,NC_000913.3,-,1483669,1483688,1483678,1483628,-50,50
ECOLIBS000000080,NC_000913.3,+,1488662,1488681,1488672,1488727,-55,55
ECOLIBS000000081,NC_000913.3,+,1498656,1498675,1498666,1498677,-11,11
ECOLIBS000000082,NC_000913.3,-,1500350,1500369,1500360,1500470,110,110
ECOLIBS000000083,NC_000913.3,-,1515883,1515902,1515892,1516292,400,400
ECOLIBS000000084,NC_000913.3,-,1524086,1524105,1524096,1524594,498,498
ECOLIBS000000085,NC_000913.3,+,1533053,1533072,1533062,1533030,32,32
ECOLIBS000000086,NC_000913.3,-,1566135,1566154,1566144,1565995,-149,149
ECOLIBS000000087,NC_000913.3,-,1571765,1571784,1571774,1571631,-143,143
ECOLIBS000000088,NC_000913.3,+,1590041,1590060,1590050,1589719,331,331
ECOLIBS000000089,NC_000913.3,-,1590042,1590061,1590052,1590151,99,99
ECOLIBS000000090,NC_000913.3,+,1596846,1596865,1596856,1596131,725,725
ECOLIBS000000091,NC_000913.3,-,1596847,1596866,1596856,1596360,-496,496
ECOLIBS000000092,NC_000913.3,-,1623106,1623125,1623116,1623128,12,12
ECOLIBS000000093,NC_000913.3,+,1625651,1625670,1625660,1626312,-652,652
ECOLIBS000000094,NC_000913.3,+,1630746,1630765,1630756,1631393,-637,637
ECOLIBS000000095,NC_000913.3,+,1630780,1630799,1630790,1631393,-603,603
ECOLIBS000000096,NC_000913.3,-,1637524,1637543,1637534,1637845,311,311
ECOLIBS000000097,NC_000913.3,-,1657012,1657031,1657022,1657097,75,75
ECOLIBS000000098,NC_000913.3,+,1673941,1673960,1673950,1673890,60,60
ECOLIBS000000099,NC_000913.3,+,1741120,1741139,1741130,1741182,-52,52
ECOLIBS000000100,NC_000913.3,-,1741121,1741140,1741130,1741433,303,303
ECOLIBS000000101,NC_000913.3,-,1741838,1741857,1741848,1742054,206,206
ECOLIBS000000102,NC_000913.3,+,1771670,1771689,1771680,1771194,486,486
ECOLIBS000000103,NC_000913.3,+,1776096,1776115,1776106,1776001,105,105
ECOLIBS000000104,NC_000913.3,+,1856672,1856691,1856682,1855994,688,688
ECOLIBS000000105,NC_000913.3,-,1856673,1856692,1856682,1855809,-873,873
ECOLIBS000000106,NC_000913.3,+,1856876,1856895,1856886,1855994,892,892
ECOLIBS000000107,NC_000913.3,-,1857079,1857098,1857088,1855809,-1279,1279
ECOLIBS000000108,NC_000913.3,+,1871538,1871557,1871548,1871593,-45,45
ECOLIBS000000109,NC_000913.3,-,1871539,1871558,1871548,1871190,-358,358
ECOLIBS000000110,NC_000913.3,-,1878506,1878525,1878516,1878553,37,37
ECOLIBS000000111,NC_000913.3,+,1905204,1905223,1905214,1905461,-247,247
ECOLIBS000000112,NC_000913.3,-,1905205,1905224,1905214,1904953,-261,261
ECOLIBS000000113,NC_000913.3,+,1908827,1908846,1908836,1908900,-64,64
ECOLIBS000000114,NC_000913.3,-,1908828,1908847,1908838,1908799,-39,39
ECOLIBS000000115,NC_000913.3,+,1915416,1915435,1915426,1914754,672,672
ECOLIBS000000116,NC_000913.3,-,1925152,1925171,1925162,1925065,-97,97
ECOLIBS000000117,NC_000913.3,+,1987604,1987623,1987614,1987544,70,70
ECOLIBS000000118,NC_000913.3,-,1987605,1987624,1987614,1987784,170,170
ECOLIBS000000119,NC_000913.3,+,2109870,2109889,2109880,2110034,-154,154
ECOLIBS000000120,NC_000913.3,-,2162837,2162856,2162846,2162833,-13,13
ECOLIBS000000121,NC_000913.3,+,2191773,2191792,2191782,2192686,-904,904
ECOLIBS000000122,NC_000913.3,+,2212174,2212193,2212184,2212546,-362,362
ECOLIBS000000123,NC_000913.3,-,2212175,2212194,2212184,2212224,40,40
ECOLIBS000000124,NC_000913.3,-,2239122,2239141,2239132,2239273,141,141
ECOLIBS000000125,NC_000913.3,+,2249718,2249737,2249728,2249701,27,27
ECOLIBS000000126,NC_000913.3,+,2318297,2318316,2318306,2318323,-17,17
ECOLIBS000000127,NC_000913.3,-,2318455,2318474,2318464,2319113,649,649
ECOLIBS000000128,NC_000913.3,+,2348279,2348298,2348288,2348707,-419,419
ECOLIBS000000129,NC_000913.3,-,2348280,2348299,2348290,2348977,687,687
ECOLIBS000000130,NC_000913.3,+,2350503,2350522,2350512,2349941,571,571
ECOLIBS000000131,NC_000913.3,-,2350504,2350523,2350514,2350522,8,8
ECOLIBS000000132,NC_000913.3,+,2365151,2365170,2365160,2365590,-430,430
ECOLIBS000000133,NC_000913.3,-,2365152,2365171,2365162,2365567,405,405
ECOLIBS000000134,NC_000913.3,-,2387597,2387616,2387606,2386546,-1060,1060
ECOLIBS000000135,NC_000913.3,-,2412396,2412415,2412406,2412377,-29,29
ECOLIBS000000136,NC_000913.3,-,2482042,2482061,2482052,2482181,129,129
ECOLIBS000000137,NC_000913.3,+,2492326,2492345,2492336,2492988,-652,652
ECOLIBS000000138,NC_000913.3,+,2500534,2500553,2500544,2500623,-79,79
ECOLIBS000000139,NC_000913.3,-,2500535,2500554,2500544,2500909,365,365
ECOLIBS000000140,NC_000913.3,+,2607505,2607524,2607514,2607529,-15,15
ECOLIBS000000141,NC_000913.3,-,2607506,2607525,2607516,2607724,208,208
ECOLIBS000000142,NC_000913.3,+,2643556,2643575,2643566,2643541,25,25
ECOLIBS000000143,NC_000913.3,-,2651629,2651648,2651638,2651444,-194,194
ECOLIBS000000144,NC_000913.3,+,2651692,2651711,2651702,2651706,-4,4
ECOLIBS000000145,NC_000913.3,-,2712856,2712875,2712866,2712892,26,26
ECOLIBS000000146,NC_000913.3,+,2748572,2748591,2748582,2748632,-50,50
ECOLIBS000000147,NC_000913.3,-,2758928,2758947,2758938,2758659,-279,279
ECOLIBS000000148,NC_000913.3,+,2760804,2760823,2760814,2760896,-82,82
ECOLIBS000000149,NC_000913.3,-,2760805,2760824,2760814,2760838,24,24
ECOLIBS000000150,NC_000913.3,-,2773250,2773269,2773260,2773218,-42,42
ECOLIBS000000151,NC_000913.3,-,2782876,2782895,2782886,2783571,685,685
ECOLIBS000000152,NC_000913.3,-,2785974,2785993,2785984,2786020,36,36
ECOLIBS000000153,NC_000913.3,+,2788570,2788589,2788580,2788764,-184,184
ECOLIBS000000154,NC_000913.3,-,2788571,2788590,2788580,2788689,109,109
ECOLIBS000000155,NC_000913.3,-,2788903,2788922,2788912,2788868,-44,44
ECOLIBS000000156,NC_000913.3,+,2875710,2875729,2875720,2876107,-387,387
ECOLIBS000000157,NC_000913.3,-,2875711,2875730,2875720,2875544,-176,176
ECOLIBS000000158,NC_000913.3,+,2969210,2969229,2969220,2969111,109,109
ECOLIBS000000159,NC_000913.3,+,3004561,3004580,3004570,3004490,80,80
ECOLIBS000000160,NC_000913.3,+,3142733,3142752,3142742,3142714,28,28
ECOLIBS000000161,NC_000913.3,-,3142734,3142753,3142744,3143002,258,258
ECOLIBS000000162,NC_000913.3,+,3149500,3149519,3149510,3149579,-69,69
ECOLIBS000000163,NC_000913.3,+,3154842,3154861,3154852,3155302,-450,450
ECOLIBS000000164,NC_000913.3,-,3154843,3154862,3154852,3154975,123,123
ECOLIBS000000165,NC_000913.3,-,3158054,3158073,3158064,3158060,-4,4
ECOLIBS000000166,NC_000913.3,+,3225801,3225820,3225810,3224325,1485,1485
ECOLIBS000000167,NC_000913.3,+,3325221,3325240,3325230,3325031,199,199
ECOLIBS000000168,NC_000913.3,-,3325222,3325241,3325232,3325230,-2,2
ECOLIBS000000169,NC_000913.3,-,3363043,3363062,3363052,3362986,-66,66
ECOLIBS000000170,NC_000913.3,-,3364852,3364871,3364862,3364945,83,83
ECOLIBS000000171,NC_000913.3,+,3397722,3397741,3397732,3397736,-4,4
ECOLIBS000000172,NC_000913.3,+,3458709,3458728,3458718,3458870,-152,152
ECOLIBS000000173,NC_000913.3,+,3518461,3518480,3518470,3518771,-301,301
ECOLIBS000000174,NC_000913.3,+,3647497,3647516,3647506,3647579,-73,73
ECOLIBS000000175,NC_000913.3,-,3647498,3647517,3647508,3647981,473,473
ECOLIBS000000176,NC_000913.3,+,3665721,3665740,3665730,3665850,-120,120
ECOLIBS000000177,NC_000913.3,-,3665722,3665741,3665732,3665840,108,108
ECOLIBS000000178,NC_000913.3,-,3667300,3667319,3667310,3667418,108,108
ECOLIBS000000179,NC_000913.3,-,3731367,3731386,3731376,3731745,369,369
ECOLIBS000000180,NC_000913.3,+,3735581,3735600,3735590,3735897,-307,307
ECOLIBS000000181,NC_000913.3,+,3830575,3830594,3830584,3830602,-18,18
ECOLIBS000000182,NC_000913.3,+,3830695,3830714,3830704,3830602,102,102
ECOLIBS000000183,NC_000913.3,-,3844065,3844084,3844074,3844632,558,558
ECOLIBS000000184,NC_000913.3,+,3877703,3877722,3877712,3877478,234,234
ECOLIBS000000185,NC_000913.3,-,3877704,3877723,3877714,3877611,-103,103
ECOLIBS000000186,NC_000913.3,-,3898486,3898505,3898496,3898912,416,416
ECOLIBS000000187,NC_000913.3,-,3934353,3934372,3934362,3934017,-345,345
ECOLIBS000000188,NC_000913.3,+,3934547,3934566,3934556,3934367,189,189
ECOLIBS000000189,NC_000913.3,-,3934548,3934567,3934558,3934017,-541,541
ECOLIBS000000190,NC_000913.3,+,3993413,3993432,3993422,3993429,-7,7
ECOLIBS000000191,NC_000913.3,-,3993414,3993433,3993424,3993366,-58,58
ECOLIBS000000192,NC_000913.3,-,4061407,4061426,4061416,4061048,-368,368
ECOLIBS000000193,NC_000913.3,-,4101600,4101619,4101610,4100884,-726,726
ECOLIBS000000194,NC_000913.3,-,4173473,4173492,4173482,4173080,-402,402
ECOLIBS000000195,NC_000913.3,-,4173726,4173745,4173736,4173080,-656,656
ECOLIBS000000196,NC_000913.3,-,4189824,4189843,4189834,4189903,69,69
ECOLIBS000000197,NC_000913.3,+,4203327,4203346,4203336,4203405,-69,69
ECOLIBS000000198,NC_000913.3,-,4203328,4203347,4203338,4203334,-4,4
ECOLIBS000000199,NC_000913.3,+,4213241,4213260,4213250,4213218,32,32
ECOLIBS000000200,NC_000913.3,+,4221586,4221605,4221596,4221602,-6,6
ECOLIBS000000201,NC_000913.3,-,4251773,4251792,4251782,4252086,304,304
ECOLIBS000000202,NC_000913.3,+,4276777,4276796,4276786,4276783,3,3
ECOLIBS000000203,NC_000913.3,-,4276778,4276797,4276788,4277422,634,634
ECOLIBS000000204,NC_000913.3,+,4313469,4313488,4313478,4313455,23,23
ECOLIBS000000205,NC_000913.3,+,4416736,4416755,4416746,4416784,-38,38
ECOLIBS000000206,NC_000913.3,-,4469952,4469971,4469962,4470260,298,298
ECOLIBS000000207,NC_000913.3,+,4494781,4494800,4494790,4494598,192,192
ECOLIBS000000208,NC_000913.3,+,4507932,4507951,4507942,4508074,-132,132
ECOLIBS000000209,NC_000913.3,+,4525930,4525949,4525940,4525967,-27,27
ECOLIBS000000210,NC_000913.3,+,4529882,4529901,4529892,4530384,-492,492
ECOLIBS000000211,NC_000913.3,-,4529883,4529902,4529892,4529656,-236,236
ECOLIBS000000212,NC_000913.3,-,4529922,4529941,4529932,4529656,-276,276
ECOLIBS000000213,NC_000913.3,+,4532034,4532053,4532044,4531771,273,273
ECOLIBS000000214,NC_000913.3,-,4532035,4532054,4532044,4532032,-12,12
ECOLIBS000000215,NC_000913.3,-,4603249,4603268,4603258,4603035,-223,223
ECOLIBS000000216,NC_000913.3,+,21064,21078,21071,21113,-42,42
ECOLIBS000000217,NC_000913.3,+,29515,29529,29522,29550,-28,28
ECOLIBS000000218,NC_000913.3,+,29584,29598,29591,29620,-29,29
ECOLIBS000000219,NC_000913.3,-,29584,29598,29591,29483,-108,108
ECOLIBS000000220,NC_000913.3,-,121939,121953,121946,121922,-24,24
ECOLIBS000000221,NC_000913.3,-,121976,121990,121983,121922,-61,61
ECOLIBS000000222,NC_000913.3,-,223625,223639,223632,223730,98,98
ECOLIBS000000223,NC_000913.3,-,227341,227355,227348,226881,-467,467
ECOLIBS000000224,NC_000913.3,+,227842,227856,227849,228206,-357,357
ECOLIBS000000225,NC_000913.3,+,227862,227876,227869,228206,-337,337
ECOLIBS000000226,NC_000913.3,+,228100,228114,228107,228206,-99,99
ECOLIBS000000227,NC_000913.3,-,228706,228720,228713,229081,368,368
ECOLIBS000000228,NC_000913.3,+,236873,236887,236880,236910,-30,30
ECOLIBS000000229,NC_000913.3,-,401066,401080,401073,401002,-71,71
ECOLIBS000000230,NC_000913.3,+,580505,580519,580512,580553,-41,41
ECOLIBS000000231,NC_000913.3,-,580505,580519,580512,580471,-41,41
ECOLIBS000000232,NC_000913.3,+,657288,657302,657295,657301,-6,6
ECOLIBS000000233,NC_000913.3,-,770958,770972,770965,771040,75,75
ECOLIBS000000234,NC_000913.3,+,771109,771123,771116,771078,38,38
ECOLIBS000000235,NC_000913.3,-,771109,771123,771116,771040,-76,76
ECOLIBS000000236,NC_000913.3,+,771161,771175,771168,771169,-1,1
ECOLIBS000000237,NC_000913.3,-,771161,771175,771168,771285,117,117
ECOLIBS000000238,NC_000913.3,-,771279,771293,771286,771285,-1,1
ECOLIBS000000239,NC_000913.3,-,780581,780595,780588,780315,-273,273
ECOLIBS000000240,NC_000913.3,-,780870,780884,780877,780315,-562,562
ECOLIBS000000241,NC_000913.3,-,781174,781188,781181,781993,812,812
ECOLIBS000000242,NC_000913.3,-,781396,781410,781403,781993,590,590
ECOLIBS000000243,NC_000913.3,-,781604,781618,781611,781993,382,382
ECOLIBS000000244,NC_000913.3,-,816780,816794,816787,816801,14,14
ECOLIBS000000245,NC_000913.3,+,816780,816794,816787,816827,-40,40
ECOLIBS000000246,NC_000913.3,-,855842,855856,855849,855869,20,20
ECOLIBS000000247,NC_000913.3,-,863564,863578,863571,863865,294,294
ECOLIBS000000248,NC_000913.3,+,863564,863578,863571,863613,-42,42
ECOLIBS000000249,NC_000913.3,+,878254,878268,878261,878263,-2,2
ECOLIBS000000250,NC_000913.3,-,913846,913860,913853,913846,-7,7
ECOLIBS000000251,NC_000913.3,+,913910,913924,913917,914637,-720,720
ECOLIBS000000252,NC_000913.3,-,939296,939310,939303,939355,52,52
ECOLIBS000000253,NC_000913.3,+,940774,940788,940781,940822,-41,41
ECOLIBS000000254,NC_000913.3,-,940774,940788,940781,939355,-1426,1426
ECOLIBS000000255,NC_000913.3,+,954305,954319,954312,954063,249,249
ECOLIBS000000256,NC_000913.3,+,954526,954540,954533,954768,-235,235
ECOLIBS000000257,NC_000913.3,-,954526,954540,954533,954513,-20,20
ECOLIBS000000258,NC_000913.3,+,954819,954833,954826,954768,58,58
ECOLIBS000000259,NC_000913.3,-,961722,961736,961729,961966,237,237
ECOLIBS000000260,NC_000913.3,+,961722,961736,961729,961720,9,9
ECOLIBS000000261,NC_000913.3,+,1031507,1031521,1031514,1031469,45,45
ECOLIBS000000262,NC_000913.3,+,1050311,1050325,1050318,1050558,-240,240
ECOLIBS000000263,NC_000913.3,-,1157718,1157732,1157725,1157743,18,18
ECOLIBS000000264,NC_000913.3,-,1165834,1165848,1165841,1165831,-10,10
ECOLIBS000000265,NC_000913.3,-,1165934,1165948,1165941,1165860,-81,81
ECOLIBS000000266,NC_000913.3,+,1165934,1165948,1165941,1165989,-48,48
ECOLIBS000000267,NC_000913.3,+,1166020,1166034,1166027,1166027,0,0
ECOLIBS000000268,NC_000913.3,-,1277845,1277859,1277852,1277853,1,1
ECOLIBS000000269,NC_000913.3,-,1277883,1277897,1277890,1277863,-27,27
ECOLIBS000000270,NC_000913.3,+,1277883,1277897,1277890,1277930,-40,40
ECOLIBS000000271,NC_000913.3,-,1279742,1279756,1279749,1279464,-285,285
ECOLIBS000000272,NC_000913.3,-,1279758,1279772,1279765,1279464,-301,301
ECOLIBS000000273,NC_000913.3,+,1279758,1279772,1279765,1279758,7,7
ECOLIBS000000274,NC_000913.3,-,1298344,1298358,1298351,1298309,-42,42
ECOLIBS000000275,NC_000913.3,+,1298344,1298358,1298351,1298409,-58,58
ECOLIBS000000276,NC_000913.3,-,1301181,1301195,1301188,1301148,-40,40
ECOLIBS000000277,NC_000913.3,+,1313857,1313871,1313864,1313871,-7,7
ECOLIBS000000278,NC_000913.3,-,1313857,1313871,1313864,1313823,-41,41
ECOLIBS000000279,NC_000913.3,-,1313862,1313876,1313869,1313823,-46,46
ECOLIBS000000280,NC_000913.3,-,1313902,1313916,1313909,1313941,32,32
ECOLIBS000000281,NC_000913.3,+,1313902,1313916,1313909,1313942,-33,33
ECOLIBS000000282,NC_000913.3,-,1399545,1399559,1399552,1399552,0,0
ECOLIBS000000283,NC_000913.3,+,1399545,1399559,1399552,1399516,36,36
ECOLIBS000000284,NC_000913.3,+,1408862,1408876,1408869,1408865,4,4
ECOLIBS000000285,NC_000913.3,-,1409079,1409093,1409086,1409008,-78,78
ECOLIBS000000286,NC_000913.3,-,1435695,1435709,1435702,1435710,8,8
ECOLIBS000000287,NC_000913.3,+,1435695,1435709,1435702,1435095,607,607
ECOLIBS000000288,NC_000913.3,-,1517323,1517337,1517330,1517247,-83,83
ECOLIBS000000289,NC_000913.3,+,1517323,1517337,1517330,1517359,-29,29
ECOLIBS000000290,NC_000913.3,-,1547267,1547281,1547274,1547210,-64,64
ECOLIBS000000291,NC_000913.3,+,1547322,1547336,1547329,1547356,-27,27
ECOLIBS000000292,NC_000913.3,-,1629113,1629127,1629120,1629548,428,428
ECOLIBS000000293,NC_000913.3,-,1629119,1629133,1629126,1629548,422,422
ECOLIBS000000294,NC_000913.3,+,1629119,1629133,1629126,1629167,-41,41
ECOLIBS000000295,NC_000913.3,+,1636591,1636605,1636598,1636730,-132,132
ECOLIBS000000296,NC_000913.3,-,1636597,1636611,1636604,1636365,-239,239
ECOLIBS000000297,NC_000913.3,-,1636681,1636695,1636688,1636365,-323,323
ECOLIBS000000298,NC_000913.3,+,1636681,1636695,1636688,1636730,-42,42
ECOLIBS000000299,NC_000913.3,+,1657955,1657969,1657962,1658003,-41,41
ECOLIBS000000300,NC_000913.3,-,1657955,1657969,1657962,1657921,-41,41
ECOLIBS000000301,NC_000913.3,-,1658061,1658075,1658068,1658111,43,43
ECOLIBS000000302,NC_000913.3,-,1717211,1717225,1717218,1717286,68,68
ECOLIBS000000303,NC_000913.3,+,1720982,1720996,1720989,1720995,-6,6
ECOLIBS000000304,NC_000913.3,+,1737578,1737592,1737585,1737641,-56,56
ECOLIBS000000305,NC_000913.3,+,1754523,1754537,1754530,1754874,-344,344
ECOLIBS000000306,NC_000913.3,+,1754671,1754685,1754678,1754874,-196,196
ECOLIBS000000307,NC_000913.3,-,1754677,1754691,1754684,1754643,-41,41
ECOLIBS000000308,NC_000913.3,+,1754677,1754691,1754684,1754874,-190,190
ECOLIBS000000309,NC_000913.3,-,1765095,1765109,1765102,1765144,42,42
ECOLIBS000000310,NC_000913.3,-,1833277,1833291,1833284,1832897,-387,387
ECOLIBS000000311,NC_000913.3,+,1862445,1862459,1862452,1862525,-73,73
ECOLIBS000000312,NC_000913.3,+,1862517,1862531,1862524,1862525,-1,1
ECOLIBS000000313,NC_000913.3,+,1862548,1862562,1862555,1862527,28,28
ECOLIBS000000314,NC_000913.3,-,1862548,1862562,1862555,1862477,-78,78
ECOLIBS000000315,NC_000913.3,+,1862667,1862681,1862674,1862619,55,55
ECOLIBS000000316,NC_000913.3,-,1870448,1870462,1870455,1870336,-119,119
ECOLIBS000000317,NC_000913.3,+,1870448,1870462,1870455,1870126,329,329
ECOLIBS000000318,NC_000913.3,+,1991790,1991804,1991797,1993056,-1259,1259
ECOLIBS000000319,NC_000913.3,-,2068504,2068518,2068511,2068483,-28,28
ECOLIBS000000320,NC_000913.3,+,2266136,2266150,2266143,2266213,-70,70
ECOLIBS000000321,NC_000913.3,+,2343432,2343446,2343439,2343508,-69,69
ECOLIBS000000322,NC_000913.3,+,2343577,2343591,2343584,2343508,76,76
ECOLIBS000000323,NC_000913.3,-,2343590,2343604,2343597,2343393,-204,204
ECOLIBS000000324,NC_000913.3,-,2344557,2344571,2344564,2344576,12,12
ECOLIBS000000325,NC_000913.3,+,2379263,2379277,2379270,2379315,-45,45
ECOLIBS000000326,NC_000913.3,-,2379263,2379277,2379270,2379281,11,11
ECOLIBS000000327,NC_000913.3,+,2379315,2379329,2379322,2379315,7,7
ECOLIBS000000328,NC_000913.3,-,2405262,2405276,2405269,2405252,-17,17
ECOLIBS000000329,NC_000913.3,+,2405433,2405447,2405440,2405441,-1,1
ECOLIBS000000330,NC_000913.3,-,2405433,2405447,2405440,2405497,57,57
ECOLIBS000000331,NC_000913.3,-,2417003,2417017,2417010,2417034,24,24
ECOLIBS000000332,NC_000913.3,+,2461040,2461054,2461047,2461204,-157,157
ECOLIBS000000333,NC_000913.3,-,2461040,2461054,2461047,2460979,-68,68
ECOLIBS000000334,NC_000913.3,-,2461062,2461076,2461069,2461145,76,76
ECOLIBS000000335,NC_000913.3,-,2521280,2521294,2521287,2521551,264,264
ECOLIBS000000336,NC_000913.3,-,2560230,2560244,2560237,2560372,135,135
ECOLIBS000000337,NC_000913.3,-,2560407,2560421,2560414,2560372,-42,42
ECOLIBS000000338,NC_000913.3,-,2564427,2564441,2564434,2564773,339,339
ECOLIBS000000339,NC_000913.3,+,2620953,2620967,2620960,2621009,-49,49
ECOLIBS000000340,NC_000913.3,-,2620953,2620967,2620960,2620986,26,26
